episode,timestep,return,length
1,18,18.0,18
2,34,16.0,16
3,45,11.0,11
4,59,14.0,14
5,70,11.0,11
6,85,15.0,15
7,109,24.0,24
8,135,26.0,26
9,193,58.0,58
10,215,22.0,22
11,229,14.0,14
12,249,20.0,20
13,259,10.0,10
14,271,12.0,12
15,288,17.0,17
16,305,17.0,17
17,377,72.0,72
18,388,11.0,11
19,402,14.0,14
20,421,19.0,19
21,445,24.0,24
22,458,13.0,13
23,470,12.0,12
24,502,32.0,32
25,549,47.0,47
26,580,31.0,31
27,591,11.0,11
28,609,18.0,18
29,626,17.0,17
30,651,25.0,25
31,675,24.0,24
32,695,20.0,20
33,709,14.0,14
34,721,12.0,12
35,747,26.0,26
36,768,21.0,21
37,789,21.0,21
38,807,18.0,18
39,827,20.0,20
40,847,20.0,20
41,881,34.0,34
42,906,25.0,25
43,947,41.0,41
44,964,17.0,17
45,976,12.0,12
46,1008,32.0,32
47,1019,11.0,11
48,1036,17.0,17
49,1074,38.0,38
50,1091,17.0,17
51,1107,16.0,16
52,1130,23.0,23
53,1141,11.0,11
54,1167,26.0,26
55,1181,14.0,14
56,1220,39.0,39
57,1241,21.0,21
58,1279,38.0,38
59,1292,13.0,13
60,1323,31.0,31
61,1339,16.0,16
62,1353,14.0,14
63,1366,13.0,13
64,1378,12.0,12
65,1391,13.0,13
66,1403,12.0,12
67,1419,16.0,16
68,1437,18.0,18
69,1452,15.0,15
70,1466,14.0,14
71,1477,11.0,11
72,1487,10.0,10
73,1499,12.0,12
74,1509,10.0,10
75,1569,60.0,60
76,1596,27.0,27
77,1617,21.0,21
78,1634,17.0,17
79,1665,31.0,31
80,1682,17.0,17
81,1693,11.0,11
82,1715,22.0,22
83,1732,17.0,17
84,1744,12.0,12
85,1761,17.0,17
86,1774,13.0,13
87,1799,25.0,25
88,1808,9.0,9
89,1839,31.0,31
90,1864,25.0,25
91,1876,12.0,12
92,1909,33.0,33
93,1926,17.0,17
94,1939,13.0,13
95,1962,23.0,23
96,1988,26.0,26
97,2000,12.0,12
98,2030,30.0,30
99,2044,14.0,14
100,2063,19.0,19
101,2089,26.0,26
102,2109,20.0,20
103,2121,12.0,12
104,2150,29.0,29
105,2197,47.0,47
106,2208,11.0,11
107,2248,40.0,40
108,2277,29.0,29
109,2288,11.0,11
110,2317,29.0,29
111,2338,21.0,21
112,2374,36.0,36
113,2406,32.0,32
114,2429,23.0,23
115,2446,17.0,17
116,2459,13.0,13
117,2477,18.0,18
118,2488,11.0,11
119,2499,11.0,11
120,2516,17.0,17
121,2535,19.0,19
122,2556,21.0,21
123,2581,25.0,25
124,2599,18.0,18
125,2609,10.0,10
126,2623,14.0,14
127,2634,11.0,11
128,2645,11.0,11
129,2658,13.0,13
130,2676,18.0,18
131,2692,16.0,16
132,2704,12.0,12
133,2718,14.0,14
134,2734,16.0,16
135,2753,19.0,19
136,2768,15.0,15
137,2783,15.0,15
138,2797,14.0,14
139,2820,23.0,23
140,2833,13.0,13
141,2849,16.0,16
142,2865,16.0,16
143,2883,18.0,18
144,2896,13.0,13
145,2934,38.0,38
146,2947,13.0,13
147,2968,21.0,21
148,2983,15.0,15
149,3005,22.0,22
150,3027,22.0,22
151,3054,27.0,27
152,3069,15.0,15
153,3105,36.0,36
154,3114,9.0,9
155,3132,18.0,18
156,3150,18.0,18
157,3159,9.0,9
158,3173,14.0,14
159,3188,15.0,15
160,3199,11.0,11
161,3208,9.0,9
162,3218,10.0,10
163,3228,10.0,10
164,3236,8.0,8
165,3251,15.0,15
166,3262,11.0,11
167,3327,65.0,65
168,3356,29.0,29
169,3375,19.0,19
170,3386,11.0,11
171,3401,15.0,15
172,3434,33.0,33
173,3479,45.0,45
174,3495,16.0,16
175,3508,13.0,13
176,3522,14.0,14
177,3540,18.0,18
178,3558,18.0,18
179,3581,23.0,23
180,3601,20.0,20
181,3743,142.0,142
182,3759,16.0,16
183,3832,73.0,73
184,3852,20.0,20
185,3863,11.0,11
186,3886,23.0,23
187,3935,49.0,49
188,3949,14.0,14
189,4106,157.0,157
190,4127,21.0,21
191,4141,14.0,14
192,4154,13.0,13
193,4225,71.0,71
194,4277,52.0,52
195,4292,15.0,15
196,4316,24.0,24
197,4328,12.0,12
198,4341,13.0,13
199,4358,17.0,17
200,4375,17.0,17
201,4387,12.0,12
202,4408,21.0,21
203,4435,27.0,27
204,4557,122.0,122
205,4575,18.0,18
206,4634,59.0,59
207,4645,11.0,11
208,4663,18.0,18
209,4742,79.0,79
210,4755,13.0,13
211,4768,13.0,13
212,4783,15.0,15
213,4793,10.0,10
214,4811,18.0,18
215,4830,19.0,19
216,4854,24.0,24
217,4869,15.0,15
218,4910,41.0,41
219,4925,15.0,15
220,4976,51.0,51
221,4989,13.0,13
222,5017,28.0,28
223,5029,12.0,12
224,5046,17.0,17
225,5057,11.0,11
226,5071,14.0,14
227,5083,12.0,12
228,5101,18.0,18
229,5129,28.0,28
230,5184,55.0,55
231,5198,14.0,14
232,5212,14.0,14
233,5242,30.0,30
234,5271,29.0,29
235,5297,26.0,26
236,5323,26.0,26
237,5335,12.0,12
238,5362,27.0,27
239,5395,33.0,33
240,5670,275.0,275
241,5808,138.0,138
242,5901,93.0,93
243,6032,131.0,131
244,6166,134.0,134
245,6183,17.0,17
246,6205,22.0,22
247,6222,17.0,17
248,6233,11.0,11
249,6255,22.0,22
250,6270,15.0,15
251,6289,19.0,19
252,6305,16.0,16
253,6328,23.0,23
254,6346,18.0,18
255,6365,19.0,19
256,6383,18.0,18
257,6401,18.0,18
258,6419,18.0,18
259,6442,23.0,23
260,6456,14.0,14
261,6467,11.0,11
