episode,timestep,return,length
1,18,18.0,18
2,34,16.0,16
3,45,11.0,11
4,59,14.0,14
5,70,11.0,11
6,85,15.0,15
7,109,24.0,24
8,135,26.0,26
9,193,58.0,58
10,215,22.0,22
11,229,14.0,14
12,249,20.0,20
13,259,10.0,10
14,271,12.0,12
15,288,17.0,17
16,305,17.0,17
17,377,72.0,72
18,388,11.0,11
19,402,14.0,14
20,421,19.0,19
21,445,24.0,24
22,458,13.0,13
23,470,12.0,12
24,502,32.0,32
25,549,47.0,47
26,580,31.0,31
27,591,11.0,11
28,609,18.0,18
29,626,17.0,17
30,651,25.0,25
31,675,24.0,24
32,695,20.0,20
33,709,14.0,14
34,721,12.0,12
35,747,26.0,26
36,768,21.0,21
37,789,21.0,21
38,807,18.0,18
39,827,20.0,20
40,847,20.0,20
41,881,34.0,34
42,906,25.0,25
43,947,41.0,41
44,964,17.0,17
45,976,12.0,12
46,1008,32.0,32
47,1019,11.0,11
48,1036,17.0,17
49,1074,38.0,38
50,1091,17.0,17
51,1107,16.0,16
52,1155,48.0,48
53,1165,10.0,10
54,1199,34.0,34
55,1218,19.0,19
56,1237,19.0,19
57,1253,16.0,16
58,1282,29.0,29
59,1299,17.0,17
60,1323,24.0,24
61,1378,55.0,55
62,1392,14.0,14
63,1409,17.0,17
64,1429,20.0,20
65,1451,22.0,22
66,1465,14.0,14
67,1485,20.0,20
68,1501,16.0,16
69,1515,14.0,14
70,1533,18.0,18
71,1548,15.0,15
72,1562,14.0,14
73,1578,16.0,16
74,1595,17.0,17
75,1614,19.0,19
76,1626,12.0,12
77,1666,40.0,40
78,1701,35.0,35
79,1720,19.0,19
80,1732,12.0,12
81,1754,22.0,22
82,1782,28.0,28
83,1791,9.0,9
84,1805,14.0,14
85,1854,49.0,49
86,1890,36.0,36
87,1931,41.0,41
88,1955,24.0,24
89,2005,50.0,50
90,2066,61.0,61
91,2101,35.0,35
92,2166,65.0,65
93,2206,40.0,40
94,2254,48.0,48
95,2267,13.0,13
96,2277,10.0,10
97,2302,25.0,25
98,2340,38.0,38
99,2438,98.0,98
100,2473,35.0,35
101,2495,22.0,22
102,2553,58.0,58
103,2618,65.0,65
104,2631,13.0,13
105,2659,28.0,28
106,2673,14.0,14
107,2686,13.0,13
108,2711,25.0,25
109,2734,23.0,23
110,2775,41.0,41
111,2840,65.0,65
112,2851,11.0,11
113,2880,29.0,29
114,2928,48.0,48
115,2991,63.0,63
116,3065,74.0,74
117,3095,30.0,30
118,3207,112.0,112
119,3221,14.0,14
120,3289,68.0,68
121,3360,71.0,71
122,3417,57.0,57
123,3449,32.0,32
124,3474,25.0,25
125,3569,95.0,95
126,3582,13.0,13
127,3605,23.0,23
128,3643,38.0,38
129,3699,56.0,56
130,3730,31.0,31
131,3747,17.0,17
132,3801,54.0,54
133,3878,77.0,77
134,3909,31.0,31
135,4043,134.0,134
136,4124,81.0,81
137,4144,20.0,20
138,4156,12.0,12
139,4403,247.0,247
140,4439,36.0,36
141,4459,20.0,20
142,4504,45.0,45
143,4594,90.0,90
144,4630,36.0,36
145,4650,20.0,20
146,4737,87.0,87
147,4832,95.0,95
148,4932,100.0,100
149,4993,61.0,61
150,5082,89.0,89
151,5130,48.0,48
152,5147,17.0,17
153,5252,105.0,105
154,5270,18.0,18
155,5349,79.0,79
156,5361,12.0,12
157,5383,22.0,22
158,5394,11.0,11
159,5408,14.0,14
160,5429,21.0,21
161,5524,95.0,95
162,5539,15.0,15
163,5551,12.0,12
164,5564,13.0,13
165,5673,109.0,109
166,5759,86.0,86
167,5773,14.0,14
168,5786,13.0,13
169,5888,102.0,102
170,5984,96.0,96
171,5997,13.0,13
172,6103,106.0,106
173,6123,20.0,20
174,6219,96.0,96
175,6310,91.0,91
176,6424,114.0,114
177,6435,11.0,11
178,6530,95.0,95
179,6539,9.0,9
180,6579,40.0,40
181,6707,128.0,128
182,6831,124.0,124
183,6946,115.0,115
184,7052,106.0,106
185,7166,114.0,114
186,7273,107.0,107
187,7384,111.0,111
188,7402,18.0,18
189,7509,107.0,107
190,7622,113.0,113
191,7736,114.0,114
192,7870,134.0,134
193,8064,194.0,194
194,8324,260.0,260
195,8472,148.0,148
196,8661,189.0,189
197,8925,264.0,264
198,9203,278.0,278
199,9703,500.0,500
200,9891,188.0,188
201,10391,500.0,500
202,10891,500.0,500
203,11007,116.0,116
204,11156,149.0,149
205,11656,500.0,500
206,11890,234.0,234
207,12027,137.0,137
208,12295,268.0,268
209,12558,263.0,263
210,12765,207.0,207
211,12873,108.0,108
212,12965,92.0,92
213,13062,97.0,97
214,13166,104.0,104
215,13262,96.0,96
216,13352,90.0,90
217,13453,101.0,101
218,13561,108.0,108
219,13957,396.0,396
220,14096,139.0,139
221,14262,166.0,166
222,14383,121.0,121
223,14532,149.0,149
224,14544,12.0,12
225,15044,500.0,500
226,15327,283.0,283
227,15827,500.0,500
228,16233,406.0,406
229,16383,150.0,150
230,16852,469.0,469
231,17293,441.0,441
232,17420,127.0,127
233,17544,124.0,124
234,17673,129.0,129
235,18173,500.0,500
236,18306,133.0,133
237,18395,89.0,89
238,18880,485.0,485
239,19008,128.0,128
240,19289,281.0,281
241,19402,113.0,113
242,19537,135.0,135
243,19548,11.0,11
244,19658,110.0,110
245,19762,104.0,104
246,20067,305.0,305
247,20176,109.0,109
248,20187,11.0,11
249,20336,149.0,149
250,20426,90.0,90
251,20571,145.0,145
252,21071,500.0,500
253,21571,500.0,500
254,22071,500.0,500
255,22571,500.0,500
256,23071,500.0,500
257,23410,339.0,339
258,23523,113.0,113
259,24023,500.0,500
260,24036,13.0,13
261,24170,134.0,134
