episode,timestep,return,length
1,29,29.0,29
2,39,10.0,10
3,50,11.0,11
4,86,36.0,36
5,99,13.0,13
6,115,16.0,16
7,132,17.0,17
8,151,19.0,19
9,188,37.0,37
10,215,27.0,27
11,230,15.0,15
12,243,13.0,13
13,266,23.0,23
14,276,10.0,10
15,305,29.0,29
16,323,18.0,18
17,334,11.0,11
18,345,11.0,11
19,391,46.0,46
20,402,11.0,11
21,434,32.0,32
22,481,47.0,47
23,497,16.0,16
24,523,26.0,26
25,557,34.0,34
26,573,16.0,16
27,592,19.0,19
28,614,22.0,22
29,638,24.0,24
30,653,15.0,15
31,664,11.0,11
32,681,17.0,17
33,694,13.0,13
34,724,30.0,30
35,740,16.0,16
36,806,66.0,66
37,837,31.0,31
38,855,18.0,18
39,880,25.0,25
40,899,19.0,19
41,909,10.0,10
42,936,27.0,27
43,948,12.0,12
44,960,12.0,12
45,974,14.0,14
46,991,17.0,17
47,1005,14.0,14
48,1020,15.0,15
49,1051,31.0,31
50,1066,15.0,15
51,1093,27.0,27
52,1104,11.0,11
53,1117,13.0,13
54,1133,16.0,16
55,1142,9.0,9
56,1186,44.0,44
57,1197,11.0,11
58,1225,28.0,28
59,1246,21.0,21
60,1319,73.0,73
61,1335,16.0,16
62,1373,38.0,38
63,1386,13.0,13
64,1409,23.0,23
65,1439,30.0,30
66,1500,61.0,61
67,1538,38.0,38
68,1553,15.0,15
69,1598,45.0,45
70,1616,18.0,18
71,1631,15.0,15
72,1691,60.0,60
73,1738,47.0,47
74,1783,45.0,45
75,1803,20.0,20
76,1815,12.0,12
77,1856,41.0,41
78,1915,59.0,59
79,1935,20.0,20
80,1945,10.0,10
81,1958,13.0,13
82,1968,10.0,10
83,1997,29.0,29
84,2007,10.0,10
85,2040,33.0,33
86,2066,26.0,26
87,2078,12.0,12
88,2114,36.0,36
89,2159,45.0,45
90,2181,22.0,22
91,2194,13.0,13
92,2253,59.0,59
93,2271,18.0,18
94,2286,15.0,15
95,2397,111.0,111
96,2456,59.0,59
97,2471,15.0,15
98,2491,20.0,20
99,2505,14.0,14
100,2543,38.0,38
101,2579,36.0,36
102,2629,50.0,50
103,2644,15.0,15
104,2668,24.0,24
105,2692,24.0,24
106,2706,14.0,14
107,2727,21.0,21
108,2809,82.0,82
109,2866,57.0,57
110,2877,11.0,11
111,2905,28.0,28
112,2924,19.0,19
113,2951,27.0,27
114,2975,24.0,24
115,2995,20.0,20
116,3012,17.0,17
117,3026,14.0,14
118,3059,33.0,33
119,3076,17.0,17
120,3145,69.0,69
121,3186,41.0,41
122,3200,14.0,14
123,3214,14.0,14
124,3282,68.0,68
125,3306,24.0,24
126,3380,74.0,74
127,3405,25.0,25
128,3434,29.0,29
129,3494,60.0,60
130,3516,22.0,22
131,3557,41.0,41
132,3593,36.0,36
133,3612,19.0,19
134,3734,122.0,122
135,3752,18.0,18
