episode,timestep,return,length
1,18,18.0,18
2,34,16.0,16
3,45,11.0,11
4,59,14.0,14
5,70,11.0,11
6,85,15.0,15
7,109,24.0,24
8,135,26.0,26
9,193,58.0,58
10,215,22.0,22
11,229,14.0,14
12,249,20.0,20
13,259,10.0,10
14,271,12.0,12
15,288,17.0,17
16,305,17.0,17
17,377,72.0,72
18,388,11.0,11
19,402,14.0,14
20,421,19.0,19
21,445,24.0,24
22,458,13.0,13
23,470,12.0,12
24,502,32.0,32
25,549,47.0,47
26,580,31.0,31
27,591,11.0,11
28,609,18.0,18
29,626,17.0,17
30,651,25.0,25
31,675,24.0,24
32,695,20.0,20
33,709,14.0,14
34,721,12.0,12
35,747,26.0,26
36,768,21.0,21
37,789,21.0,21
38,807,18.0,18
39,827,20.0,20
40,847,20.0,20
41,881,34.0,34
42,906,25.0,25
43,947,41.0,41
44,964,17.0,17
45,976,12.0,12
46,1008,32.0,32
47,1019,11.0,11
48,1036,17.0,17
49,1074,38.0,38
50,1091,17.0,17
51,1107,16.0,16
52,1155,48.0,48
53,1165,10.0,10
54,1199,34.0,34
55,1218,19.0,19
56,1237,19.0,19
57,1255,18.0,18
58,1282,27.0,27
59,1320,38.0,38
60,1336,16.0,16
61,1353,17.0,17
62,1368,15.0,15
63,1384,16.0,16
64,1394,10.0,10
65,1414,20.0,20
66,1434,20.0,20
67,1452,18.0,18
68,1467,15.0,15
69,1492,25.0,25
70,1507,15.0,15
71,1522,15.0,15
72,1533,11.0,11
73,1543,10.0,10
74,1597,54.0,54
75,1612,15.0,15
76,1625,13.0,13
77,1655,30.0,30
78,1676,21.0,21
79,1703,27.0,27
80,1719,16.0,16
81,1736,17.0,17
82,1790,54.0,54
83,1810,20.0,20
84,1826,16.0,16
85,1840,14.0,14
86,1856,16.0,16
87,1876,20.0,20
88,1890,14.0,14
89,1906,16.0,16
90,1926,20.0,20
91,1938,12.0,12
92,1956,18.0,18
93,1978,22.0,22
94,1999,21.0,21
95,2013,14.0,14
96,2043,30.0,30
97,2060,17.0,17
98,2086,26.0,26
99,2104,18.0,18
100,2138,34.0,34
101,2162,24.0,24
102,2176,14.0,14
103,2205,29.0,29
104,2246,41.0,41
105,2271,25.0,25
106,2299,28.0,28
107,2332,33.0,33
108,2397,65.0,65
109,2418,21.0,21
110,2445,27.0,27
111,2467,22.0,22
112,2481,14.0,14
113,2493,12.0,12
114,2509,16.0,16
115,2530,21.0,21
116,2548,18.0,18
117,2586,38.0,38
118,2609,23.0,23
119,2623,14.0,14
120,2685,62.0,62
121,2709,24.0,24
122,2724,15.0,15
123,2738,14.0,14
124,2773,35.0,35
125,2811,38.0,38
126,2823,12.0,12
127,2838,15.0,15
128,2850,12.0,12
129,2877,27.0,27
130,2888,11.0,11
131,2906,18.0,18
132,2918,12.0,12
133,2928,10.0,10
134,2968,40.0,40
135,2996,28.0,28
136,3037,41.0,41
137,3051,14.0,14
138,3066,15.0,15
139,3081,15.0,15
140,3097,16.0,16
141,3120,23.0,23
142,3133,13.0,13
143,3170,37.0,37
144,3181,11.0,11
145,3212,31.0,31
146,3235,23.0,23
147,3256,21.0,21
148,3274,18.0,18
149,3298,24.0,24
150,3329,31.0,31
151,3351,22.0,22
152,3364,13.0,13
153,3375,11.0,11
154,3385,10.0,10
155,3395,10.0,10
156,3404,9.0,9
157,3423,19.0,19
158,3440,17.0,17
159,3465,25.0,25
160,3476,11.0,11
161,3489,13.0,13
162,3500,11.0,11
163,3511,11.0,11
164,3530,19.0,19
165,3541,11.0,11
166,3556,15.0,15
167,3569,13.0,13
168,3581,12.0,12
169,3600,19.0,19
170,3616,16.0,16
171,3634,18.0,18
172,3681,47.0,47
173,3709,28.0,28
174,3741,32.0,32
175,3770,29.0,29
176,3839,69.0,69
177,3860,21.0,21
178,3916,56.0,56
179,3938,22.0,22
180,3970,32.0,32
181,4069,99.0,99
182,4086,17.0,17
183,4119,33.0,33
184,4140,21.0,21
185,4156,16.0,16
186,4204,48.0,48
187,4245,41.0,41
188,4291,46.0,46
189,4340,49.0,49
190,4374,34.0,34
191,4499,125.0,125
192,4536,37.0,37
193,4552,16.0,16
194,4592,40.0,40
195,4733,141.0,141
196,4880,147.0,147
197,4890,10.0,10
198,4907,17.0,17
199,4924,17.0,17
200,4937,13.0,13
201,4952,15.0,15
202,4968,16.0,16
203,4982,14.0,14
204,4995,13.0,13
205,5010,15.0,15
206,5037,27.0,27
207,5058,21.0,21
208,5075,17.0,17
209,5088,13.0,13
210,5105,17.0,17
211,5119,14.0,14
212,5153,34.0,34
213,5209,56.0,56
214,5273,64.0,64
215,5333,60.0,60
216,5369,36.0,36
217,5488,119.0,119
218,5574,86.0,86
219,5658,84.0,84
220,5770,112.0,112
221,5879,109.0,109
222,5969,90.0,90
223,6058,89.0,89
224,6188,130.0,130
225,6305,117.0,117
226,6515,210.0,210
227,6665,150.0,150
228,6772,107.0,107
229,6868,96.0,96
230,7009,141.0,141
231,7206,197.0,197
232,7388,182.0,182
233,7558,170.0,170
234,7685,127.0,127
235,7715,30.0,30
236,7727,12.0,12
237,7737,10.0,10
238,7768,31.0,31
239,7779,11.0,11
240,7808,29.0,29
241,7834,26.0,26
242,7866,32.0,32
243,7876,10.0,10
244,7904,28.0,28
245,7916,12.0,12
246,7937,21.0,21
247,8094,157.0,157
248,8235,141.0,141
249,8336,101.0,101
250,8430,94.0,94
251,8684,254.0,254
252,8811,127.0,127
253,8958,147.0,147
254,9083,125.0,125
255,9203,120.0,120
256,9338,135.0,135
257,9476,138.0,138
258,9487,11.0,11
259,9499,12.0,12
260,9511,12.0,12
261,9523,12.0,12
