episode,timestep,return,length
1,14,14.0,14
2,42,28.0,28
3,52,10.0,10
4,99,47.0,47
5,121,22.0,22
6,132,11.0,11
7,172,40.0,40
8,203,31.0,31
9,219,16.0,16
10,244,25.0,25
11,267,23.0,23
12,309,42.0,42
13,323,14.0,14
14,353,30.0,30
15,367,14.0,14
16,395,28.0,28
17,438,43.0,43
18,472,34.0,34
19,500,28.0,28
20,527,27.0,27
21,542,15.0,15
22,559,17.0,17
23,568,9.0,9
24,582,14.0,14
25,602,20.0,20
26,617,15.0,15
27,635,18.0,18
28,654,19.0,19
29,671,17.0,17
30,681,10.0,10
31,734,53.0,53
32,751,17.0,17
33,797,46.0,46
34,813,16.0,16
35,840,27.0,27
36,852,12.0,12
37,875,23.0,23
38,909,34.0,34
39,929,20.0,20
40,948,19.0,19
41,969,21.0,21
42,989,20.0,20
43,1021,32.0,32
44,1030,9.0,9
45,1056,26.0,26
46,1067,11.0,11
47,1086,19.0,19
48,1112,26.0,26
49,1128,16.0,16
50,1161,33.0,33
51,1172,11.0,11
52,1215,43.0,43
53,1258,43.0,43
54,1272,14.0,14
55,1288,16.0,16
56,1304,16.0,16
57,1314,10.0,10
58,1371,57.0,57
59,1391,20.0,20
60,1407,16.0,16
61,1425,18.0,18
62,1477,52.0,52
63,1487,10.0,10
64,1511,24.0,24
65,1521,10.0,10
66,1540,19.0,19
67,1557,17.0,17
68,1573,16.0,16
69,1585,12.0,12
70,1608,23.0,23
71,1685,77.0,77
72,1696,11.0,11
73,1713,17.0,17
74,1734,21.0,21
75,1743,9.0,9
76,1757,14.0,14
77,1775,18.0,18
78,1787,12.0,12
79,1800,13.0,13
80,1810,10.0,10
81,1869,59.0,59
82,1881,12.0,12
83,1892,11.0,11
84,1906,14.0,14
85,1932,26.0,26
86,1957,25.0,25
87,1971,14.0,14
88,2043,72.0,72
89,2061,18.0,18
90,2078,17.0,17
91,2102,24.0,24
92,2123,21.0,21
93,2136,13.0,13
94,2155,19.0,19
95,2176,21.0,21
96,2190,14.0,14
97,2208,18.0,18
98,2234,26.0,26
99,2248,14.0,14
100,2264,16.0,16
101,2274,10.0,10
102,2291,17.0,17
103,2305,14.0,14
104,2341,36.0,36
105,2353,12.0,12
106,2367,14.0,14
107,2389,22.0,22
108,2403,14.0,14
109,2416,13.0,13
110,2425,9.0,9
111,2436,11.0,11
112,2477,41.0,41
113,2487,10.0,10
114,2524,37.0,37
115,2560,36.0,36
116,2587,27.0,27
117,2599,12.0,12
118,2631,32.0,32
119,2650,19.0,19
120,2660,10.0,10
121,2673,13.0,13
122,2696,23.0,23
123,2710,14.0,14
124,2719,9.0,9
125,2735,16.0,16
126,2760,25.0,25
127,2777,17.0,17
128,2788,11.0,11
129,2802,14.0,14
130,2815,13.0,13
131,2837,22.0,22
132,2853,16.0,16
133,2875,22.0,22
134,2887,12.0,12
135,2899,12.0,12
136,2913,14.0,14
137,2940,27.0,27
138,2976,36.0,36
139,2985,9.0,9
140,3001,16.0,16
141,3013,12.0,12
142,3030,17.0,17
143,3052,22.0,22
144,3061,9.0,9
145,3073,12.0,12
146,3085,12.0,12
147,3096,11.0,11
148,3115,19.0,19
149,3128,13.0,13
150,3137,9.0,9
151,3163,26.0,26
152,3181,18.0,18
153,3192,11.0,11
154,3200,8.0,8
155,3218,18.0,18
156,3238,20.0,20
157,3252,14.0,14
158,3266,14.0,14
159,3277,11.0,11
160,3290,13.0,13
161,3310,20.0,20
162,3387,77.0,77
163,3402,15.0,15
164,3412,10.0,10
165,3424,12.0,12
166,3447,23.0,23
167,3458,11.0,11
168,3470,12.0,12
169,3484,14.0,14
170,3495,11.0,11
171,3507,12.0,12
172,3521,14.0,14
173,3588,67.0,67
174,3628,40.0,40
175,3649,21.0,21
176,3678,29.0,29
