episode,timestep,return,length
1,14,14.0,14
2,42,28.0,28
3,52,10.0,10
4,99,47.0,47
5,121,22.0,22
6,132,11.0,11
7,172,40.0,40
8,203,31.0,31
9,219,16.0,16
10,244,25.0,25
11,267,23.0,23
12,309,42.0,42
13,323,14.0,14
14,353,30.0,30
15,367,14.0,14
16,395,28.0,28
17,438,43.0,43
18,472,34.0,34
19,500,28.0,28
20,527,27.0,27
21,542,15.0,15
22,559,17.0,17
23,568,9.0,9
24,582,14.0,14
25,602,20.0,20
26,617,15.0,15
27,635,18.0,18
28,654,19.0,19
29,671,17.0,17
30,681,10.0,10
31,734,53.0,53
32,751,17.0,17
33,797,46.0,46
34,813,16.0,16
35,840,27.0,27
36,852,12.0,12
37,875,23.0,23
38,909,34.0,34
39,929,20.0,20
40,948,19.0,19
41,969,21.0,21
42,989,20.0,20
43,1021,32.0,32
44,1030,9.0,9
45,1056,26.0,26
46,1067,11.0,11
47,1086,19.0,19
48,1112,26.0,26
49,1128,16.0,16
50,1159,31.0,31
51,1172,13.0,13
52,1215,43.0,43
53,1258,43.0,43
54,1271,13.0,13
55,1295,24.0,24
56,1318,23.0,23
57,1332,14.0,14
58,1345,13.0,13
59,1359,14.0,14
60,1378,19.0,19
61,1417,39.0,39
62,1430,13.0,13
63,1445,15.0,15
64,1461,16.0,16
65,1508,47.0,47
66,1521,13.0,13
67,1541,20.0,20
68,1557,16.0,16
69,1576,19.0,19
70,1592,16.0,16
71,1664,72.0,72
72,1680,16.0,16
73,1692,12.0,12
74,1705,13.0,13
75,1750,45.0,45
76,1762,12.0,12
77,1778,16.0,16
78,1788,10.0,10
79,1808,20.0,20
80,1826,18.0,18
81,1845,19.0,19
82,1875,30.0,30
83,1889,14.0,14
84,1912,23.0,23
85,1931,19.0,19
86,1942,11.0,11
87,1969,27.0,27
88,1986,17.0,17
89,2003,17.0,17
90,2019,16.0,16
91,2037,18.0,18
92,2058,21.0,21
93,2069,11.0,11
94,2081,12.0,12
95,2099,18.0,18
96,2133,34.0,34
97,2174,41.0,41
98,2185,11.0,11
99,2202,17.0,17
100,2225,23.0,23
101,2271,46.0,46
102,2294,23.0,23
103,2304,10.0,10
104,2318,14.0,14
105,2332,14.0,14
106,2352,20.0,20
107,2365,13.0,13
108,2377,12.0,12
109,2407,30.0,30
110,2419,12.0,12
111,2440,21.0,21
112,2450,10.0,10
113,2463,13.0,13
114,2477,14.0,14
115,2496,19.0,19
116,2511,15.0,15
117,2533,22.0,22
118,2545,12.0,12
119,2556,11.0,11
120,2576,20.0,20
121,2593,17.0,17
122,2612,19.0,19
123,2643,31.0,31
124,2692,49.0,49
125,2704,12.0,12
126,2723,19.0,19
127,2761,38.0,38
128,2772,11.0,11
129,2792,20.0,20
130,2818,26.0,26
131,2843,25.0,25
132,2853,10.0,10
133,2865,12.0,12
134,2885,20.0,20
135,2899,14.0,14
136,2910,11.0,11
137,2922,12.0,12
138,2938,16.0,16
139,2953,15.0,15
140,2978,25.0,25
141,3003,25.0,25
142,3033,30.0,30
143,3062,29.0,29
144,3090,28.0,28
145,3107,17.0,17
146,3158,51.0,51
147,3178,20.0,20
148,3211,33.0,33
149,3234,23.0,23
150,3276,42.0,42
151,3298,22.0,22
152,3307,9.0,9
153,3318,11.0,11
154,3344,26.0,26
155,3357,13.0,13
156,3370,13.0,13
157,3384,14.0,14
158,3406,22.0,22
159,3418,12.0,12
160,3429,11.0,11
161,3450,21.0,21
162,3462,12.0,12
163,3477,15.0,15
164,3486,9.0,9
165,3503,17.0,17
166,3512,9.0,9
167,3525,13.0,13
168,3534,9.0,9
169,3554,20.0,20
170,3573,19.0,19
171,3586,13.0,13
172,3605,19.0,19
173,3637,32.0,32
174,3652,15.0,15
175,3670,18.0,18
176,3684,14.0,14
