episode,timestep,return,length
1,14,14.0,14
2,42,28.0,28
3,52,10.0,10
4,99,47.0,47
5,121,22.0,22
6,132,11.0,11
7,172,40.0,40
8,203,31.0,31
9,219,16.0,16
10,244,25.0,25
11,267,23.0,23
12,309,42.0,42
13,323,14.0,14
14,353,30.0,30
15,367,14.0,14
16,395,28.0,28
17,438,43.0,43
18,472,34.0,34
19,500,28.0,28
20,527,27.0,27
21,542,15.0,15
22,559,17.0,17
23,568,9.0,9
24,582,14.0,14
25,602,20.0,20
26,617,15.0,15
27,635,18.0,18
28,654,19.0,19
29,671,17.0,17
30,681,10.0,10
31,734,53.0,53
32,751,17.0,17
33,797,46.0,46
34,813,16.0,16
35,840,27.0,27
36,852,12.0,12
37,875,23.0,23
38,909,34.0,34
39,929,20.0,20
40,948,19.0,19
41,969,21.0,21
42,989,20.0,20
43,1021,32.0,32
44,1030,9.0,9
45,1056,26.0,26
46,1069,13.0,13
47,1086,17.0,17
48,1154,68.0,68
49,1169,15.0,15
50,1199,30.0,30
51,1224,25.0,25
52,1248,24.0,24
53,1261,13.0,13
54,1285,24.0,24
55,1309,24.0,24
56,1327,18.0,18
57,1346,19.0,19
58,1358,12.0,12
59,1369,11.0,11
60,1391,22.0,22
61,1405,14.0,14
62,1437,32.0,32
63,1446,9.0,9
64,1484,38.0,38
65,1545,61.0,61
66,1555,10.0,10
67,1570,15.0,15
68,1581,11.0,11
69,1599,18.0,18
70,1642,43.0,43
71,1658,16.0,16
72,1691,33.0,33
73,1701,10.0,10
74,1728,27.0,27
75,1741,13.0,13
76,1753,12.0,12
77,1788,35.0,35
78,1807,19.0,19
79,1824,17.0,17
80,1844,20.0,20
81,1878,34.0,34
82,1915,37.0,37
83,1926,11.0,11
84,1939,13.0,13
85,1970,31.0,31
86,1980,10.0,10
87,1991,11.0,11
88,2006,15.0,15
89,2024,18.0,18
90,2037,13.0,13
91,2061,24.0,24
92,2075,14.0,14
93,2106,31.0,31
94,2124,18.0,18
95,2146,22.0,22
96,2229,83.0,83
97,2241,12.0,12
98,2261,20.0,20
99,2278,17.0,17
100,2302,24.0,24
101,2317,15.0,15
102,2337,20.0,20
103,2357,20.0,20
104,2374,17.0,17
105,2388,14.0,14
106,2407,19.0,19
107,2426,19.0,19
108,2438,12.0,12
109,2489,51.0,51
110,2531,42.0,42
111,2579,48.0,48
112,2590,11.0,11
113,2615,25.0,25
114,2627,12.0,12
115,2657,30.0,30
116,2702,45.0,45
117,2727,25.0,25
118,2739,12.0,12
119,2785,46.0,46
120,2800,15.0,15
121,2816,16.0,16
122,2830,14.0,14
123,2842,12.0,12
124,2857,15.0,15
125,2885,28.0,28
126,2902,17.0,17
127,2940,38.0,38
128,2964,24.0,24
129,2987,23.0,23
130,3006,19.0,19
131,3027,21.0,21
132,3039,12.0,12
133,3064,25.0,25
134,3074,10.0,10
135,3089,15.0,15
136,3100,11.0,11
137,3134,34.0,34
138,3146,12.0,12
139,3158,12.0,12
140,3167,9.0,9
141,3178,11.0,11
142,3191,13.0,13
143,3203,12.0,12
144,3231,28.0,28
145,3243,12.0,12
146,3261,18.0,18
147,3269,8.0,8
148,3287,18.0,18
149,3300,13.0,13
150,3316,16.0,16
151,3329,13.0,13
152,3340,11.0,11
153,3356,16.0,16
154,3366,10.0,10
155,3378,12.0,12
156,3390,12.0,12
157,3410,20.0,20
158,3422,12.0,12
159,3445,23.0,23
160,3457,12.0,12
161,3470,13.0,13
162,3481,11.0,11
163,3501,20.0,20
164,3510,9.0,9
165,3524,14.0,14
166,3534,10.0,10
167,3556,22.0,22
168,3579,23.0,23
169,3597,18.0,18
170,3618,21.0,21
171,3700,82.0,82
172,3753,53.0,53
173,3770,17.0,17
174,3785,15.0,15
175,3800,15.0,15
176,3816,16.0,16
