episode,timestep,return,length
1,14,14.0,14
2,42,28.0,28
3,52,10.0,10
4,99,47.0,47
5,121,22.0,22
6,132,11.0,11
7,172,40.0,40
8,203,31.0,31
9,219,16.0,16
10,244,25.0,25
11,267,23.0,23
12,309,42.0,42
13,323,14.0,14
14,353,30.0,30
15,367,14.0,14
16,395,28.0,28
17,438,43.0,43
18,472,34.0,34
19,500,28.0,28
20,527,27.0,27
21,542,15.0,15
22,559,17.0,17
23,568,9.0,9
24,582,14.0,14
25,602,20.0,20
26,617,15.0,15
27,635,18.0,18
28,654,19.0,19
29,671,17.0,17
30,681,10.0,10
31,734,53.0,53
32,751,17.0,17
33,797,46.0,46
34,813,16.0,16
35,840,27.0,27
36,852,12.0,12
37,875,23.0,23
38,909,34.0,34
39,929,20.0,20
40,948,19.0,19
41,969,21.0,21
42,989,20.0,20
43,1021,32.0,32
44,1030,9.0,9
45,1056,26.0,26
46,1067,11.0,11
47,1086,19.0,19
48,1112,26.0,26
49,1133,21.0,21
50,1170,37.0,37
51,1219,49.0,49
52,1234,15.0,15
53,1247,13.0,13
54,1257,10.0,10
55,1268,11.0,11
56,1294,26.0,26
57,1304,10.0,10
58,1316,12.0,12
59,1343,27.0,27
60,1359,16.0,16
61,1382,23.0,23
62,1406,24.0,24
63,1422,16.0,16
64,1467,45.0,45
65,1484,17.0,17
66,1496,12.0,12
67,1505,9.0,9
68,1522,17.0,17
69,1545,23.0,23
70,1559,14.0,14
71,1576,17.0,17
72,1628,52.0,52
73,1654,26.0,26
74,1700,46.0,46
75,1721,21.0,21
76,1756,35.0,35
77,1778,22.0,22
78,1792,14.0,14
79,1803,11.0,11
80,1816,13.0,13
81,1838,22.0,22
82,1850,12.0,12
83,1881,31.0,31
84,1891,10.0,10
85,1916,25.0,25
86,1940,24.0,24
87,1952,12.0,12
88,1966,14.0,14
89,1996,30.0,30
90,2009,13.0,13
91,2026,17.0,17
92,2043,17.0,17
93,2063,20.0,20
94,2076,13.0,13
95,2103,27.0,27
96,2179,76.0,76
97,2199,20.0,20
98,2224,25.0,25
99,2266,42.0,42
100,2303,37.0,37
101,2314,11.0,11
102,2326,12.0,12
103,2339,13.0,13
104,2378,39.0,39
105,2413,35.0,35
106,2441,28.0,28
107,2450,9.0,9
108,2460,10.0,10
109,2473,13.0,13
110,2498,25.0,25
111,2508,10.0,10
112,2522,14.0,14
113,2547,25.0,25
114,2570,23.0,23
115,2581,11.0,11
116,2615,34.0,34
117,2658,43.0,43
118,2671,13.0,13
119,2680,9.0,9
120,2696,16.0,16
121,2709,13.0,13
122,2746,37.0,37
123,2759,13.0,13
124,2773,14.0,14
125,2788,15.0,15
126,2813,25.0,25
127,2830,17.0,17
128,2889,59.0,59
129,2901,12.0,12
130,2990,89.0,89
131,3009,19.0,19
132,3027,18.0,18
133,3039,12.0,12
134,3068,29.0,29
135,3081,13.0,13
136,3094,13.0,13
137,3113,19.0,19
138,3125,12.0,12
139,3134,9.0,9
140,3149,15.0,15
141,3162,13.0,13
142,3180,18.0,18
143,3192,12.0,12
144,3202,10.0,10
145,3223,21.0,21
146,3239,16.0,16
147,3252,13.0,13
148,3267,15.0,15
149,3282,15.0,15
150,3291,9.0,9
151,3364,73.0,73
152,3402,38.0,38
153,3420,18.0,18
154,3462,42.0,42
155,3506,44.0,44
156,3586,80.0,80
157,3678,92.0,92
158,3793,115.0,115
159,3877,84.0,84
160,3977,100.0,100
161,4046,69.0,69
162,4086,40.0,40
163,4148,62.0,62
164,4233,85.0,85
165,4326,93.0,93
166,4442,116.0,116
167,4453,11.0,11
168,4508,55.0,55
169,4591,83.0,83
170,4634,43.0,43
171,4735,101.0,101
172,4747,12.0,12
173,4758,11.0,11
174,4865,107.0,107
175,4879,14.0,14
176,4897,18.0,18
