episode,timestep,return,length
1,18,18.0,18
2,34,16.0,16
3,45,11.0,11
4,59,14.0,14
5,70,11.0,11
6,85,15.0,15
7,109,24.0,24
8,135,26.0,26
9,193,58.0,58
10,215,22.0,22
11,229,14.0,14
12,249,20.0,20
13,259,10.0,10
14,271,12.0,12
15,288,17.0,17
16,305,17.0,17
17,377,72.0,72
18,388,11.0,11
19,402,14.0,14
20,421,19.0,19
21,445,24.0,24
22,458,13.0,13
23,470,12.0,12
24,502,32.0,32
25,549,47.0,47
26,580,31.0,31
27,591,11.0,11
28,609,18.0,18
29,626,17.0,17
30,651,25.0,25
31,675,24.0,24
32,695,20.0,20
33,709,14.0,14
34,721,12.0,12
35,747,26.0,26
36,768,21.0,21
37,789,21.0,21
38,807,18.0,18
39,827,20.0,20
40,847,20.0,20
41,881,34.0,34
42,906,25.0,25
43,947,41.0,41
44,964,17.0,17
45,976,12.0,12
46,1008,32.0,32
47,1019,11.0,11
48,1044,25.0,25
49,1057,13.0,13
50,1067,10.0,10
51,1084,17.0,17
52,1094,10.0,10
53,1112,18.0,18
54,1123,11.0,11
55,1150,27.0,27
56,1165,15.0,15
57,1188,23.0,23
58,1236,48.0,48
59,1251,15.0,15
60,1273,22.0,22
61,1290,17.0,17
62,1308,18.0,18
63,1320,12.0,12
64,1337,17.0,17
65,1374,37.0,37
66,1388,14.0,14
67,1402,14.0,14
68,1422,20.0,20
69,1434,12.0,12
70,1460,26.0,26
71,1472,12.0,12
72,1488,16.0,16
73,1497,9.0,9
74,1520,23.0,23
75,1552,32.0,32
76,1570,18.0,18
77,1584,14.0,14
78,1604,20.0,20
79,1621,17.0,17
80,1639,18.0,18
81,1671,32.0,32
82,1730,59.0,59
83,1753,23.0,23
84,1770,17.0,17
85,1801,31.0,31
86,1812,11.0,11
87,1837,25.0,25
88,1853,16.0,16
89,1869,16.0,16
90,1883,14.0,14
91,1894,11.0,11
92,1914,20.0,20
93,1927,13.0,13
94,1939,12.0,12
95,1961,22.0,22
96,1975,14.0,14
97,1989,14.0,14
98,2024,35.0,35
99,2044,20.0,20
100,2063,19.0,19
101,2111,48.0,48
102,2131,20.0,20
103,2193,62.0,62
104,2210,17.0,17
105,2232,22.0,22
106,2245,13.0,13
107,2262,17.0,17
108,2274,12.0,12
109,2288,14.0,14
110,2347,59.0,59
111,2443,96.0,96
112,2470,27.0,27
113,2494,24.0,24
114,2591,97.0,97
115,2630,39.0,39
116,2669,39.0,39
117,2714,45.0,45
118,2830,116.0,116
119,2853,23.0,23
120,2936,83.0,83
121,2961,25.0,25
122,3034,73.0,73
123,3066,32.0,32
124,3209,143.0,143
125,3234,25.0,25
126,3295,61.0,61
127,3420,125.0,125
128,3448,28.0,28
129,3482,34.0,34
130,3619,137.0,137
131,3699,80.0,80
132,3773,74.0,74
133,3926,153.0,153
134,4046,120.0,120
135,4084,38.0,38
136,4139,55.0,55
137,4150,11.0,11
138,4162,12.0,12
139,4196,34.0,34
140,4302,106.0,106
141,4489,187.0,187
142,4522,33.0,33
143,4570,48.0,48
144,4581,11.0,11
145,4769,188.0,188
146,4894,125.0,125
147,5024,130.0,130
148,5088,64.0,64
149,5223,135.0,135
150,5369,146.0,146
151,5396,27.0,27
152,5543,147.0,147
153,5735,192.0,192
154,5779,44.0,44
155,5989,210.0,210
156,6003,14.0,14
157,6145,142.0,142
158,6286,141.0,141
159,6417,131.0,131
160,6437,20.0,20
161,6556,119.0,119
162,6658,102.0,102
163,6777,119.0,119
164,6886,109.0,109
165,7040,154.0,154
166,7184,144.0,144
167,7196,12.0,12
168,7309,113.0,113
169,7432,123.0,123
170,7591,159.0,159
171,7742,151.0,151
172,7854,112.0,112
173,7969,115.0,115
174,8070,101.0,101
175,8175,105.0,105
176,8293,118.0,118
177,8413,120.0,120
178,8552,139.0,139
179,8711,159.0,159
180,8851,140.0,140
181,8975,124.0,124
182,8991,16.0,16
183,9149,158.0,158
184,9303,154.0,154
185,9420,117.0,117
186,9541,121.0,121
187,9683,142.0,142
188,9824,141.0,141
189,9967,143.0,143
190,10124,157.0,157
191,10137,13.0,13
192,10245,108.0,108
193,10261,16.0,16
194,10276,15.0,15
195,10287,11.0,11
196,10304,17.0,17
197,10323,19.0,19
198,10343,20.0,20
199,10358,15.0,15
200,10371,13.0,13
201,10388,17.0,17
202,10488,100.0,100
203,10591,103.0,103
204,10696,105.0,105
205,10805,109.0,109
206,10904,99.0,99
207,11002,98.0,98
208,11135,133.0,133
209,11255,120.0,120
210,11383,128.0,128
211,11514,131.0,131
212,11649,135.0,135
213,11766,117.0,117
214,11930,164.0,164
215,12106,176.0,176
216,12248,142.0,142
217,12377,129.0,129
218,12478,101.0,101
219,12489,11.0,11
220,12504,15.0,15
221,12618,114.0,114
222,12753,135.0,135
223,12888,135.0,135
224,13011,123.0,123
225,13132,121.0,121
226,13143,11.0,11
227,13162,19.0,19
228,13173,11.0,11
229,13186,13.0,13
230,13199,13.0,13
231,13212,13.0,13
232,13226,14.0,14
233,13344,118.0,118
234,13359,15.0,15
235,13373,14.0,14
236,13390,17.0,17
237,13404,14.0,14
238,13417,13.0,13
239,13432,15.0,15
240,13442,10.0,10
241,13455,13.0,13
242,13574,119.0,119
243,13590,16.0,16
244,13611,21.0,21
245,13624,13.0,13
246,13637,13.0,13
247,13743,106.0,106
248,13758,15.0,15
249,13772,14.0,14
250,13799,27.0,27
251,13817,18.0,18
252,13941,124.0,124
253,14075,134.0,134
254,14091,16.0,16
255,14104,13.0,13
256,14218,114.0,114
257,14337,119.0,119
258,14464,127.0,127
259,14590,126.0,126
260,14715,125.0,125
261,14863,148.0,148
