episode,timestep,return,length
1,18,18.0,18
2,34,16.0,16
3,45,11.0,11
4,59,14.0,14
5,70,11.0,11
6,85,15.0,15
7,109,24.0,24
8,135,26.0,26
9,193,58.0,58
10,215,22.0,22
11,229,14.0,14
12,249,20.0,20
13,259,10.0,10
14,271,12.0,12
15,288,17.0,17
16,305,17.0,17
17,377,72.0,72
18,388,11.0,11
19,402,14.0,14
20,421,19.0,19
21,445,24.0,24
22,458,13.0,13
23,470,12.0,12
24,502,32.0,32
25,549,47.0,47
26,580,31.0,31
27,591,11.0,11
28,609,18.0,18
29,626,17.0,17
30,651,25.0,25
31,675,24.0,24
32,695,20.0,20
33,709,14.0,14
34,721,12.0,12
35,747,26.0,26
36,768,21.0,21
37,789,21.0,21
38,807,18.0,18
39,827,20.0,20
40,847,20.0,20
41,881,34.0,34
42,906,25.0,25
43,947,41.0,41
44,964,17.0,17
45,976,12.0,12
46,1008,32.0,32
47,1019,11.0,11
48,1083,64.0,64
49,1092,9.0,9
50,1105,13.0,13
51,1134,29.0,29
52,1147,13.0,13
53,1170,23.0,23
54,1183,13.0,13
55,1197,14.0,14
56,1215,18.0,18
57,1230,15.0,15
58,1247,17.0,17
59,1276,29.0,29
60,1321,45.0,45
61,1347,26.0,26
62,1391,44.0,44
63,1420,29.0,29
64,1468,48.0,48
65,1482,14.0,14
66,1498,16.0,16
67,1518,20.0,20
68,1625,107.0,107
69,1688,63.0,63
70,1702,14.0,14
71,1751,49.0,49
72,1778,27.0,27
73,1806,28.0,28
74,1817,11.0,11
75,1919,102.0,102
76,1928,9.0,9
77,1940,12.0,12
78,1970,30.0,30
79,2013,43.0,43
80,2075,62.0,62
81,2110,35.0,35
82,2136,26.0,26
83,2234,98.0,98
84,2282,48.0,48
85,2318,36.0,36
86,2346,28.0,28
87,2404,58.0,58
88,2452,48.0,48
89,2471,19.0,19
90,2503,32.0,32
91,2557,54.0,54
92,2624,67.0,67
93,2728,104.0,104
94,2753,25.0,25
95,2828,75.0,75
96,2850,22.0,22
97,2888,38.0,38
98,2955,67.0,67
99,3006,51.0,51
100,3041,35.0,35
101,3070,29.0,29
102,3147,77.0,77
103,3201,54.0,54
104,3219,18.0,18
105,3229,10.0,10
106,3297,68.0,68
107,3311,14.0,14
108,3324,13.0,13
109,3395,71.0,71
110,3422,27.0,27
111,3438,16.0,16
112,3482,44.0,44
113,3529,47.0,47
114,3629,100.0,100
115,3645,16.0,16
116,3663,18.0,18
117,3731,68.0,68
118,3775,44.0,44
119,3899,124.0,124
120,3984,85.0,85
121,4004,20.0,20
122,4031,27.0,27
123,4058,27.0,27
124,4083,25.0,25
125,4096,13.0,13
126,4125,29.0,29
127,4317,192.0,192
128,4431,114.0,114
129,4539,108.0,108
130,4556,17.0,17
131,4696,140.0,140
132,4710,14.0,14
133,4830,120.0,120
134,5062,232.0,232
135,5225,163.0,163
136,5239,14.0,14
137,5271,32.0,32
138,5283,12.0,12
139,5427,144.0,144
140,5437,10.0,10
141,5449,12.0,12
142,5460,11.0,11
143,5491,31.0,31
144,5523,32.0,32
145,5558,35.0,35
146,5633,75.0,75
147,5735,102.0,102
148,5774,39.0,39
149,5821,47.0,47
150,5938,117.0,117
151,5951,13.0,13
152,6082,131.0,131
153,6206,124.0,124
154,6341,135.0,135
155,6351,10.0,10
156,6478,127.0,127
157,6496,18.0,18
158,6619,123.0,123
159,6637,18.0,18
160,6753,116.0,116
161,6767,14.0,14
162,6782,15.0,15
163,6908,126.0,126
164,6931,23.0,23
165,7086,155.0,155
166,7229,143.0,143
167,7265,36.0,36
168,7346,81.0,81
169,7455,109.0,109
170,7516,61.0,61
171,7578,62.0,62
172,7596,18.0,18
173,7657,61.0,61
174,7964,307.0,307
175,8092,128.0,128
176,8224,132.0,132
177,8324,100.0,100
178,8426,102.0,102
179,8522,96.0,96
180,8583,61.0,61
181,8683,100.0,100
182,8784,101.0,101
183,8880,96.0,96
184,8978,98.0,98
185,9275,297.0,297
186,9295,20.0,20
187,9316,21.0,21
188,9335,19.0,19
189,9355,20.0,20
190,9371,16.0,16
191,9387,16.0,16
192,9408,21.0,21
193,9428,20.0,20
194,9448,20.0,20
195,9468,20.0,20
196,9482,14.0,14
197,9493,11.0,11
198,9509,16.0,16
199,9527,18.0,18
200,9548,21.0,21
201,9566,18.0,18
202,9584,18.0,18
203,9599,15.0,15
204,9617,18.0,18
205,9635,18.0,18
206,9649,14.0,14
207,9671,22.0,22
208,9684,13.0,13
209,9701,17.0,17
210,9721,20.0,20
211,9819,98.0,98
212,9915,96.0,96
213,10020,105.0,105
214,10233,213.0,213
215,10331,98.0,98
216,10421,90.0,90
217,10513,92.0,92
218,10615,102.0,102
219,10722,107.0,107
220,10784,62.0,62
221,10873,89.0,89
222,10964,91.0,91
223,11059,95.0,95
224,11163,104.0,104
225,11265,102.0,102
226,11357,92.0,92
227,11454,97.0,97
228,11549,95.0,95
229,11653,104.0,104
230,11757,104.0,104
231,11858,101.0,101
232,11953,95.0,95
233,12054,101.0,101
234,12088,34.0,34
235,12194,106.0,106
236,12302,108.0,108
237,12406,104.0,104
238,12509,103.0,103
239,12607,98.0,98
240,12661,54.0,54
241,12735,74.0,74
242,12858,123.0,123
243,12868,10.0,10
244,12966,98.0,98
245,13066,100.0,100
246,13155,89.0,89
247,13253,98.0,98
248,13347,94.0,94
249,13539,192.0,192
250,13587,48.0,48
251,13605,18.0,18
252,13621,16.0,16
253,13639,18.0,18
254,13655,16.0,16
255,13675,20.0,20
256,13685,10.0,10
257,13701,16.0,16
258,13719,18.0,18
259,13748,29.0,29
260,13768,20.0,20
261,13784,16.0,16
