episode,timestep,return,length
1,29,29.0,29
2,39,10.0,10
3,50,11.0,11
4,86,36.0,36
5,99,13.0,13
6,115,16.0,16
7,132,17.0,17
8,151,19.0,19
9,188,37.0,37
10,215,27.0,27
11,230,15.0,15
12,243,13.0,13
13,266,23.0,23
14,276,10.0,10
15,305,29.0,29
16,323,18.0,18
17,334,11.0,11
18,345,11.0,11
19,391,46.0,46
20,402,11.0,11
21,434,32.0,32
22,481,47.0,47
23,497,16.0,16
24,523,26.0,26
25,557,34.0,34
26,573,16.0,16
27,592,19.0,19
28,614,22.0,22
29,638,24.0,24
30,653,15.0,15
31,664,11.0,11
32,681,17.0,17
33,694,13.0,13
34,724,30.0,30
35,740,16.0,16
36,806,66.0,66
37,837,31.0,31
38,855,18.0,18
39,880,25.0,25
40,899,19.0,19
41,909,10.0,10
42,936,27.0,27
43,948,12.0,12
44,960,12.0,12
45,974,14.0,14
46,991,17.0,17
47,1005,14.0,14
48,1020,15.0,15
49,1051,31.0,31
50,1066,15.0,15
51,1081,15.0,15
52,1091,10.0,10
53,1102,11.0,11
54,1114,12.0,12
55,1130,16.0,16
56,1143,13.0,13
57,1173,30.0,30
58,1202,29.0,29
59,1213,11.0,11
60,1227,14.0,14
61,1283,56.0,56
62,1309,26.0,26
63,1322,13.0,13
64,1351,29.0,29
65,1364,13.0,13
66,1379,15.0,15
67,1417,38.0,38
68,1431,14.0,14
69,1457,26.0,26
70,1513,56.0,56
71,1586,73.0,73
72,1614,28.0,28
73,1664,50.0,50
74,1681,17.0,17
75,1696,15.0,15
76,1765,69.0,69
77,1780,15.0,15
78,1820,40.0,40
79,1831,11.0,11
80,1876,45.0,45
81,1885,9.0,9
82,1907,22.0,22
83,1920,13.0,13
84,1954,34.0,34
85,1966,12.0,12
86,1991,25.0,25
87,2009,18.0,18
88,2032,23.0,23
89,2046,14.0,14
90,2061,15.0,15
91,2075,14.0,14
92,2102,27.0,27
93,2114,12.0,12
94,2128,14.0,14
95,2140,12.0,12
96,2163,23.0,23
97,2231,68.0,68
98,2248,17.0,17
99,2300,52.0,52
100,2396,96.0,96
101,2442,46.0,46
102,2475,33.0,33
103,2498,23.0,23
104,2591,93.0,93
105,2624,33.0,33
106,2643,19.0,19
107,2675,32.0,32
108,2722,47.0,47
109,2736,14.0,14
110,2767,31.0,31
111,2836,69.0,69
112,2874,38.0,38
113,2910,36.0,36
114,2928,18.0,18
115,2941,13.0,13
116,2960,19.0,19
117,2991,31.0,31
118,3002,11.0,11
119,3016,14.0,14
120,3033,17.0,17
121,3071,38.0,38
122,3143,72.0,72
123,3197,54.0,54
124,3222,25.0,25
125,3251,29.0,29
126,3297,46.0,46
127,3320,23.0,23
128,3355,35.0,35
129,3372,17.0,17
130,3384,12.0,12
131,3441,57.0,57
132,3539,98.0,98
133,3591,52.0,52
134,3745,154.0,154
135,3807,62.0,62
