episode,timestep,return,length
1,14,14.0,14
2,42,28.0,28
3,52,10.0,10
4,99,47.0,47
5,121,22.0,22
6,132,11.0,11
7,172,40.0,40
8,203,31.0,31
9,219,16.0,16
10,244,25.0,25
11,267,23.0,23
12,309,42.0,42
13,323,14.0,14
14,353,30.0,30
15,367,14.0,14
16,395,28.0,28
17,438,43.0,43
18,472,34.0,34
19,500,28.0,28
20,527,27.0,27
21,542,15.0,15
22,559,17.0,17
23,568,9.0,9
24,582,14.0,14
25,602,20.0,20
26,617,15.0,15
27,635,18.0,18
28,654,19.0,19
29,671,17.0,17
30,681,10.0,10
31,734,53.0,53
32,751,17.0,17
33,797,46.0,46
34,813,16.0,16
35,840,27.0,27
36,852,12.0,12
37,875,23.0,23
38,909,34.0,34
39,929,20.0,20
40,948,19.0,19
41,969,21.0,21
42,989,20.0,20
43,1021,32.0,32
44,1030,9.0,9
45,1064,34.0,34
46,1081,17.0,17
47,1131,50.0,50
48,1150,19.0,19
49,1161,11.0,11
50,1220,59.0,59
51,1239,19.0,19
52,1252,13.0,13
53,1302,50.0,50
54,1314,12.0,12
55,1340,26.0,26
56,1394,54.0,54
57,1435,41.0,41
58,1449,14.0,14
59,1474,25.0,25
60,1483,9.0,9
61,1498,15.0,15
62,1513,15.0,15
63,1536,23.0,23
64,1552,16.0,16
65,1564,12.0,12
66,1605,41.0,41
67,1662,57.0,57
68,1675,13.0,13
69,1697,22.0,22
70,1736,39.0,39
71,1754,18.0,18
72,1769,15.0,15
73,1804,35.0,35
74,1828,24.0,24
75,1900,72.0,72
76,1913,13.0,13
77,2016,103.0,103
78,2040,24.0,24
79,2058,18.0,18
80,2089,31.0,31
81,2143,54.0,54
82,2158,15.0,15
83,2196,38.0,38
84,2246,50.0,50
85,2261,15.0,15
86,2315,54.0,54
87,2326,11.0,11
88,2341,15.0,15
89,2379,38.0,38
90,2392,13.0,13
91,2409,17.0,17
92,2427,18.0,18
93,2507,80.0,80
94,2522,15.0,15
95,2579,57.0,57
96,2622,43.0,43
97,2691,69.0,69
98,2720,29.0,29
99,2744,24.0,24
100,2761,17.0,17
101,2804,43.0,43
102,2827,23.0,23
103,2854,27.0,27
104,2884,30.0,30
105,2979,95.0,95
106,3052,73.0,73
107,3086,34.0,34
108,3148,62.0,62
109,3161,13.0,13
110,3221,60.0,60
111,3276,55.0,55
112,3288,12.0,12
113,3299,11.0,11
114,3310,11.0,11
115,3383,73.0,73
116,3395,12.0,12
117,3410,15.0,15
118,3426,16.0,16
119,3477,51.0,51
120,3507,30.0,30
121,3601,94.0,94
122,3614,13.0,13
123,3648,34.0,34
124,3679,31.0,31
125,3730,51.0,51
126,3780,50.0,50
127,3800,20.0,20
128,3885,85.0,85
129,3965,80.0,80
130,3992,27.0,27
131,4029,37.0,37
132,4111,82.0,82
133,4199,88.0,88
134,4218,19.0,19
135,4330,112.0,112
136,4340,10.0,10
137,4402,62.0,62
138,4517,115.0,115
139,4711,194.0,194
140,4944,233.0,233
141,5029,85.0,85
142,5117,88.0,88
143,5159,42.0,42
144,5227,68.0,68
145,5255,28.0,28
146,5266,11.0,11
147,5282,16.0,16
148,5350,68.0,68
149,5368,18.0,18
150,5525,157.0,157
151,5634,109.0,109
152,5734,100.0,100
153,5748,14.0,14
154,5865,117.0,117
155,5881,16.0,16
156,5892,11.0,11
157,6249,357.0,357
158,6263,14.0,14
159,6377,114.0,114
160,6485,108.0,108
161,6642,157.0,157
162,6668,26.0,26
163,6809,141.0,141
164,6825,16.0,16
165,6931,106.0,106
166,6943,12.0,12
167,6988,45.0,45
168,7029,41.0,41
169,7116,87.0,87
170,7172,56.0,56
171,7186,14.0,14
172,7281,95.0,95
173,7292,11.0,11
174,7307,15.0,15
175,7331,24.0,24
176,7428,97.0,97
