episode,timestep,return,length
1,11,11.0,11
2,33,22.0,22
3,52,19.0,19
4,72,20.0,20
5,85,13.0,13
6,102,17.0,17
7,117,15.0,15
8,138,21.0,21
9,154,16.0,16
10,166,12.0,12
11,178,12.0,12
12,228,50.0,50
13,244,16.0,16
14,260,16.0,16
15,274,14.0,14
16,303,29.0,29
17,333,30.0,30
18,357,24.0,24
19,381,24.0,24
20,393,12.0,12
21,407,14.0,14
22,427,20.0,20
23,442,15.0,15
24,458,16.0,16
25,475,17.0,17
26,493,18.0,18
27,516,23.0,23
28,531,15.0,15
29,542,11.0,11
30,562,20.0,20
31,586,24.0,24
32,610,24.0,24
33,620,10.0,10
34,640,20.0,20
35,654,14.0,14
36,673,19.0,19
37,691,18.0,18
38,704,13.0,13
39,729,25.0,25
40,770,41.0,41
41,790,20.0,20
42,811,21.0,21
43,825,14.0,14
44,867,42.0,42
45,914,47.0,47
46,959,45.0,45
47,975,16.0,16
48,1002,27.0,27
49,1017,15.0,15
50,1031,14.0,14
51,1048,17.0,17
52,1087,39.0,39
53,1101,14.0,14
54,1114,13.0,13
55,1130,16.0,16
56,1143,13.0,13
57,1172,29.0,29
58,1201,29.0,29
59,1214,13.0,13
60,1233,19.0,19
61,1259,26.0,26
62,1270,11.0,11
63,1295,25.0,25
64,1317,22.0,22
65,1333,16.0,16
66,1342,9.0,9
67,1354,12.0,12
68,1366,12.0,12
69,1381,15.0,15
70,1393,12.0,12
71,1408,15.0,15
72,1417,9.0,9
73,1446,29.0,29
74,1462,16.0,16
75,1478,16.0,16
76,1496,18.0,18
77,1519,23.0,23
78,1537,18.0,18
79,1570,33.0,33
80,1581,11.0,11
81,1592,11.0,11
82,1619,27.0,27
83,1646,27.0,27
84,1670,24.0,24
85,1685,15.0,15
86,1713,28.0,28
87,1725,12.0,12
88,1740,15.0,15
89,1759,19.0,19
90,1780,21.0,21
91,1802,22.0,22
92,1815,13.0,13
93,1863,48.0,48
94,1886,23.0,23
95,1924,38.0,38
96,1945,21.0,21
97,1958,13.0,13
98,1978,20.0,20
99,1992,14.0,14
100,2019,27.0,27
101,2045,26.0,26
102,2092,47.0,47
103,2108,16.0,16
104,2120,12.0,12
105,2195,75.0,75
106,2241,46.0,46
107,2280,39.0,39
108,2338,58.0,58
109,2348,10.0,10
110,2437,89.0,89
111,2456,19.0,19
112,2469,13.0,13
113,2557,88.0,88
114,2575,18.0,18
115,2597,22.0,22
116,2621,24.0,24
117,2647,26.0,26
118,2673,26.0,26
119,2742,69.0,69
120,2796,54.0,54
121,2810,14.0,14
122,2839,29.0,29
123,2860,21.0,21
124,2875,15.0,15
125,2928,53.0,53
126,2949,21.0,21
127,2973,24.0,24
128,2988,15.0,15
129,3084,96.0,96
130,3157,73.0,73
131,3183,26.0,26
132,3234,51.0,51
133,3261,27.0,27
134,3276,15.0,15
135,3308,32.0,32
136,3333,25.0,25
137,3401,68.0,68
138,3462,61.0,61
139,3540,78.0,78
140,3589,49.0,49
141,3732,143.0,143
142,3785,53.0,53
143,3801,16.0,16
144,4013,212.0,212
145,4105,92.0,92
146,4139,34.0,34
147,4237,98.0,98
148,4250,13.0,13
149,4317,67.0,67
150,4403,86.0,86
151,4585,182.0,182
152,4620,35.0,35
153,4741,121.0,121
154,4759,18.0,18
155,4810,51.0,51
156,4927,117.0,117
157,4966,39.0,39
158,4982,16.0,16
159,4994,12.0,12
160,5007,13.0,13
161,5017,10.0,10
162,5030,13.0,13
163,5066,36.0,36
164,5078,12.0,12
165,5089,11.0,11
166,5220,131.0,131
167,5422,202.0,202
168,5437,15.0,15
169,5460,23.0,23
170,5475,15.0,15
171,5617,142.0,142
172,5631,14.0,14
173,5724,93.0,93
174,5739,15.0,15
175,5851,112.0,112
176,6002,151.0,151
