episode,timestep,return,length
1,29,29.0,29
2,39,10.0,10
3,50,11.0,11
4,86,36.0,36
5,99,13.0,13
6,115,16.0,16
7,132,17.0,17
8,151,19.0,19
9,188,37.0,37
10,215,27.0,27
11,230,15.0,15
12,243,13.0,13
13,266,23.0,23
14,276,10.0,10
15,305,29.0,29
16,323,18.0,18
17,334,11.0,11
18,345,11.0,11
19,391,46.0,46
20,402,11.0,11
21,434,32.0,32
22,481,47.0,47
23,497,16.0,16
24,523,26.0,26
25,557,34.0,34
26,573,16.0,16
27,592,19.0,19
28,614,22.0,22
29,638,24.0,24
30,653,15.0,15
31,664,11.0,11
32,681,17.0,17
33,694,13.0,13
34,724,30.0,30
35,740,16.0,16
36,806,66.0,66
37,837,31.0,31
38,855,18.0,18
39,880,25.0,25
40,899,19.0,19
41,909,10.0,10
42,936,27.0,27
43,948,12.0,12
44,960,12.0,12
45,974,14.0,14
46,991,17.0,17
47,1005,14.0,14
48,1020,15.0,15
49,1048,28.0,28
50,1062,14.0,14
51,1096,34.0,34
52,1108,12.0,12
53,1121,13.0,13
54,1143,22.0,22
55,1156,13.0,13
56,1171,15.0,15
57,1184,13.0,13
58,1196,12.0,12
59,1209,13.0,13
60,1223,14.0,14
61,1265,42.0,42
62,1309,44.0,44
63,1326,17.0,17
64,1346,20.0,20
65,1356,10.0,10
66,1368,12.0,12
67,1382,14.0,14
68,1397,15.0,15
69,1414,17.0,17
70,1427,13.0,13
71,1444,17.0,17
72,1463,19.0,19
73,1501,38.0,38
74,1512,11.0,11
75,1526,14.0,14
76,1573,47.0,47
77,1591,18.0,18
78,1628,37.0,37
79,1681,53.0,53
80,1703,22.0,22
81,1728,25.0,25
82,1806,78.0,78
83,1826,20.0,20
84,1845,19.0,19
85,1860,15.0,15
86,1875,15.0,15
87,1888,13.0,13
88,1907,19.0,19
89,1949,42.0,42
90,1973,24.0,24
91,1982,9.0,9
92,1999,17.0,17
93,2013,14.0,14
94,2039,26.0,26
95,2056,17.0,17
96,2067,11.0,11
97,2101,34.0,34
98,2112,11.0,11
99,2123,11.0,11
100,2132,9.0,9
101,2168,36.0,36
102,2181,13.0,13
103,2197,16.0,16
104,2230,33.0,33
105,2253,23.0,23
106,2262,9.0,9
107,2272,10.0,10
108,2324,52.0,52
109,2403,79.0,79
110,2446,43.0,43
111,2490,44.0,44
112,2502,12.0,12
113,2564,62.0,62
114,2628,64.0,64
115,2692,64.0,64
116,2709,17.0,17
117,2736,27.0,27
118,2754,18.0,18
119,2818,64.0,64
120,2851,33.0,33
121,2865,14.0,14
122,2920,55.0,55
123,2934,14.0,14
124,2949,15.0,15
125,2961,12.0,12
126,2980,19.0,19
127,2997,17.0,17
128,3057,60.0,60
129,3092,35.0,35
130,3114,22.0,22
131,3158,44.0,44
132,3197,39.0,39
133,3246,49.0,49
134,3274,28.0,28
135,3329,55.0,55
